date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-04-01,138.6259,138.9634,137.034,137.7175,3700791,3700791,-1.142,-0.822,137.5779,"Apr 1, 15",-0.12376614336850977
2015-04-02,138.0117,140.6245,137.4666,138.8163,4671578,4671578,1.0988,0.798,138.6583,"Apr 2, 15",-0.11677497839915808
2015-04-06,138.1588,140.8494,137.304,140.1919,3465682,3465682,1.3756,0.991,139.8092,"Apr 6, 15",-0.10802266084196839
2015-04-07,139.8718,141.7492,139.8285,140.2179,3147975,3147975,0.025954,0.019,140.82,"Apr 7, 15",-0.10785723465958487
2015-04-08,139.915,141.4983,139.3008,140.0275,2524323,2524323,-0.190338,-0.136,140.2569,"Apr 8, 15",-0.1090686633182711
2015-04-09,139.8977,140.5639,139.0499,140.4514,2263490,2263490,0.423934,0.303,139.9898,"Apr 9, 15",-0.10637158029087014
2015-04-10,140.4514,141.308,139.5084,140.9013,2515703,2515703,0.449889,0.32,140.7669,"Apr 10, 15",-0.10350907108108566
2015-04-13,140.4774,141.8876,140.4688,140.4861,3868911,3868911,-0.415282,-0.295,140.8718,"Apr 13, 15",-0.10615079996284282
2015-04-14,140.5207,140.7934,139.1104,140.4168,2719287,2719287,-0.069215,-0.049,140.1466,"Apr 14, 15",-0.10659172436434998
2015-04-15,140.7023,142.7182,140.5899,142.0001,3498756,3498756,1.5833,1.128,141.9058,"Apr 15, 15",-0.09651790611173397
2015-04-16,141.2907,141.8703,140.6245,141.1349,3136947,3136947,-0.865167,-0.609,141.2281,"Apr 16, 15",-0.10202278045782345
2015-04-17,139.941,140.0362,138.4529,139.0066,4314432,4314432,-2.1283,-1.508,139.1334,"Apr 17, 15",-0.11556418599501951
2015-04-20,140.2438,144.1717,140.0708,143.7564,9609204,9609204,4.7498,3.417,142.9277,"Apr 20, 15",-0.08534336749171911
2015-04-21,143.6785,144.8119,141.9309,142.1126,9683592,9683592,-1.6438,-1.143,142.9325,"Apr 21, 15",-0.09580211974565102
2015-04-22,142.225,143.618,140.9273,143.0643,4024789,4024789,0.951686,0.67,142.6295,"Apr 22, 15",-0.08974688521586212
2015-04-23,142.9518,148.7311,142.8739,147.2863,8235607,8235607,4.222,2.951,147.0359,"Apr 23, 15",-0.06288421821494967
2015-04-24,147.2776,147.814,145.9885,146.8883,3888439,3888439,-0.397976,-0.27,146.7506,"Apr 24, 15",-0.06541651131451476
2015-04-27,147.8486,148.3677,147.3382,147.7102,3168575,3168575,0.82191,0.56,147.8102,"Apr 27, 15",-0.060187135187548896
2015-04-28,147.7967,151.1363,147.0959,150.4701,5816654,5816654,2.7599,1.868,149.6266,"Apr 28, 15",-0.04262714592752556
2015-04-29,150.0202,151.5172,149.5011,150.8854,4518381,4518381,0.41528,0.276,150.5119,"Apr 29, 15",-0.03998478079122073
2015-04-30,150.3403,150.7816,147.3382,148.1947,5062913,5062913,-2.6907,-1.783,148.7206,"Apr 30, 15",-0.05710448190428439
2015-05-01,149.8472,150.5393,149.1723,150.2538,3312052,3312052,2.0591,1.389,149.9067,"May 1, 15",-0.04400336451404784
2015-05-04,150.9459,152.5292,150.2798,150.5134,4027978,4027978,0.259549,0.173,151.1443,"May 4, 15",-0.042351647708402114
2015-05-05,150.1154,150.7383,148.7744,149.7434,3593620,3593620,-0.770001,-0.512,149.7222,"May 5, 15",-0.04725080772514822
2015-05-06,150.7197,151.7222,147.198,148.2353,3612606,3612606,-1.5081,-1.007,148.2538,"May 6, 15",-0.05684616255794697
2015-05-07,147.8692,149.9177,147.3549,149.0547,2472687,2472687,0.819416,0.553,149.0134,"May 7, 15",-0.05163269279467183
2015-05-08,150.7546,151.0945,150.1444,150.5279,3092602,3092602,1.4732,0.988,150.5105,"May 8, 15",-0.04225939079899587
2015-05-11,150.5018,150.7981,148.9414,149.168,2661030,2661030,-1.3599,-0.903,149.6248,"May 11, 15",-0.05091181639220768
2015-05-12,148.6712,149.4905,147.1805,148.6712,2962412,2962412,-0.496878,-0.333,148.5477,"May 12, 15",-0.05407272898483048
2015-05-13,149.2726,150.5802,148.8455,150.1792,2457521,2457521,1.5081,1.014,150.1683,"May 13, 15",-0.04447801040657938
2015-05-14,151.2427,152.0273,150.9986,151.7222,2439070,2439070,1.5429,1.027,151.5625,"May 14, 15",-0.034660602736658205
2015-05-15,151.6001,152.036,150.4582,151.0335,2916579,2916579,-0.688656,-0.454,151.0453,"May 15, 15",-0.03904248780618163
2015-05-18,151.1904,151.234,150.1967,150.8592,1970630,1970630,-0.17434,-0.115,150.8364,"May 18, 15",-0.04015147948269974
2015-05-19,150.7807,151.4606,149.8741,151.2253,2523002,2523002,0.366118,0.243,150.7491,"May 19, 15",-0.03782215158382848
2015-05-20,151.0945,152.0621,150.3361,151.4694,2300693,2300693,0.24408,0.161,151.4798,"May 20, 15",-0.03626905423306514
2015-05-21,151.0858,151.8006,150.8374,151.1032,2295596,2295596,-0.36612,-0.242,151.2532,"May 21, 15",-0.03859901838648406
2015-05-22,150.8417,151.1468,150.1008,150.1269,2849692,2849692,-0.976321,-0.646,150.4172,"May 22, 15",-0.044810771534989566
2015-05-26,150.031,150.0397,147.4333,148.305,3854170,3854170,-1.8219,-1.214,148.1184,"May 26, 15",-0.05640269313824922
2015-05-27,149.2029,150.3536,148.6188,149.9351,2764378,2764378,1.6301,1.099,149.8804,"May 27, 15",-0.04603110775734272
2015-05-28,149.4557,149.7957,148.767,149.6823,1731372,1731372,-0.252797,-0.169,149.367,"May 28, 15",-0.04763955925374984
2015-05-29,149.3685,149.3685,147.8866,147.8866,4091981,4091981,-1.7957,-1.2,148.3484,"May 29, 15",-0.05906478216553066
2015-06-01,148.3748,149.0983,147.3461,148.3486,2985479,2985479,0.46201,0.312,148.3546,"Jun 1, 15",-0.056125286155482824
2015-06-02,147.8953,148.584,146.8231,147.8866,2571862,2571862,-0.46201,-0.311,147.8143,"Jun 2, 15",-0.05906478216553066
2015-06-03,148.6276,149.5517,147.8692,148.122,2131031,2131031,0.235362,0.159,148.5429,"Jun 3, 15",-0.05756703896041093
2015-06-04,147.782,148.7147,146.3873,146.7795,3079334,3079334,-1.3424,-0.906,147.2644,"Jun 4, 15",-0.06610875626233535
2015-06-05,146.6662,147.2418,145.7509,145.9252,3100505,3100505,-0.85428,-0.582,146.1951,"Jun 5, 15",-0.07154427886273329
2015-06-08,145.7248,145.8206,143.8506,144.1295,3758726,3758726,-1.7957,-1.231,144.3771,"Jun 8, 15",-0.08296950177451394
2015-06-09,144.1295,144.7223,142.4122,144.4259,3395901,3395901,0.296383,0.206,143.9531,"Jun 9, 15",-0.08108364329534043
2015-06-10,145.132,147.66,144.7571,147.2503,4680545,4680545,2.8244,1.956,147.0264,"Jun 10, 15",-0.06311326985209625
2015-06-11,147.5466,148.5753,146.919,147.1282,3464013,3464013,-0.12204,-0.083,147.6204,"Jun 11, 15",-0.06389013665475184
2015-06-12,146.6488,146.7098,145.3063,145.5678,3065085,3065085,-1.5604,-1.061,145.6896,"Jun 12, 15",-0.07381825261596059
2015-06-15,144.1208,145.0884,143.1793,144.9315,4245657,4245657,-0.636351,-0.437,144.3139,"Jun 15, 15",-0.07786674030252637
2015-06-16,144.9925,145.9252,144.6264,145.4371,3249842,3249842,0.505594,0.349,145.2077,"Jun 16, 15",-0.07464983730971231
2015-06-17,145.5766,146.3154,144.792,145.7248,2862993,2862993,0.287668,0.198,145.6872,"Jun 17, 15",-0.07281933297618258
2015-06-18,145.6201,147.0759,145.6201,146.6662,3330864,3330864,0.941452,0.646,146.5224,"Jun 18, 15",-0.06682963266479951
2015-06-19,146.117,146.8144,145.3761,145.5678,7073984,7073984,-1.0984,-0.749,145.8128,"Jun 19, 15",-0.07381825261596059
2015-06-22,146.1432,146.7447,145.7509,146.2129,2335796,2335796,0.645072,0.443,146.3023,"Jun 22, 15",-0.06971377452920356
2015-06-23,146.7795,148.1656,146.0761,146.9887,3701637,3701637,0.775825,0.531,147.1945,"Jun 23, 15",-0.06477771174869482
2015-06-24,147.0672,147.1805,145.4285,145.5504,3548093,3548093,-1.4383,-0.979,145.9275,"Jun 24, 15",-0.07392896090724817
2015-06-25,146.2739,146.5616,144.7746,144.7746,2408885,2408885,-0.775826,-0.533,145.2605,"Jun 25, 15",-0.07886502368775691
2015-06-26,144.9053,145.4123,144.0336,144.2341,8945985,8945985,-0.540465,-0.373,144.4584,"Jun 26, 15",-0.08230397951769358
2015-06-29,142.8917,144.1382,141.9938,142.0635,3314684,3314684,-2.1706,-1.505,142.7423,"Jun 29, 15",-0.09611452072853693
2015-06-30,142.9527,142.9614,141.3226,141.7933,3597288,3597288,-0.270234,-0.19,141.9464,"Jun 30, 15",-0.09783368051623162
